040000011PA               000004000000000001000006000000000002R    PP000000000000000412 C       
093001004BA               000004250000000002000004279000000002R    BB000000000015568600 C       
093001004PA               000004250000000004000004276000000003R    PP000000000015569510 C       
093001004BA               000004250000000002000004278000000001R    BB000000000015572900 C       
093001004BA               000004251000000001000004278000000001R    BB000000000015573760 C       
093001011ZA               000004253000000002000004280000000002R    ZZ000000000015623060 C       
093001011TA               000004253000000002000004278000000002R    TT000000000015623600 C       
093001011YA               000004253000000002000004280000000002R    YY000000000015626000 C       
093001011YA               000004253000000003000004280000000002R    YY000000000015626260 C       
093001011TA               000004253000000003000004278000000002R    TT000000000015626300 C       
093001012ZA               000004253000000003000004280000000002R    ZZ000000000015627400 C       
093001012YA               000004253000000003000004280000000003R    YY000000000015627760 C       
093001012BA               000004253000000002000004278000000001R    BB000000000015628000 C       
093001012ZA               000004253000000003000004280000000003R    ZZ000000000015628100 C       
093001012JA               000004253000000002000004280000000002R    JJ000000000015631100 C       
093001012PA               000004253000000002000004276000000003R    PP000000000015631800 C       
093001013JA               000004253000000002000004279000000001R    JJ000000000015634600 C       
093001013PA               000004253000000003000004276000000003R    PP000000000015636600 C       
093001016PA               000004253000000003000004280000000002R    PP000000000015650160 C       
093001016KA               000004253000000002000004316000000001R    KK000000000015650800 C       
093001017BA               000004253000000004000004278000000001R    BB000000000015654860 C       
093001017PA               000004253000000003000004280000000003R    PP000000000015654900 C       
093001021PA               000004253000000003000004280000000002R    PP000000000015673100 C       
093001104PA               000004253000000001000004280000000002R    PP000000000015899000 C       
093001104BA               000004253000000002000004278000000001R    BB000000000015899560 C       
093001104TA               000004253000000001000004278000000002R    TT000000000015899960 C       
093001104YA               000004253000000001000004280000000003R    YY000000000015900260 C       
093001104ZA               000004253000000001000004280000000003R    ZZ000000000015900560 C       
093001104TA               000004252000000001000004278000000002R    TT000000000015900800 C       
093001104YA               000004240000000002000004280000000003R    YY000000000015901100 C       
093001104ZA               000004252000000001000004280000000003R    ZZ000000000015901200 C       
093001104PA               000004250000000001000004280000000002R    PP000000000015901400 C       
093001104ZA               000004252000000001000004279000000001R    ZZ000000000015901500 C       
093001104JA               000004252000000001000004279000000001R    JJ000000000015901660 C       
093001104YA               000004240000000002000004279000000001R    YY000000000015901700 C       
093001104YA               000004240000000002000004279000000002R    YY000000000015902200 C       
093001104ZA               000004252000000001000004279000000002R    ZZ000000000015902500 C       
093001104KA               000004252000000001000004316000000001R    KK000000000015902960 C       
093001105PA               000004251000000001000004280000000002R    PP000000000015903200 C       
093001105PA               000004251000000001000004279000000001R    PP000000000015903500 C       
093001105PA               000004251000000001000004279000000002R    PP000000000015904400 C       
093001105BA               000004252000000002000004278000000001R    BB000000000015905160 C       
093001144YA               000004240000000002000004279000000001R    YY000000000015963900 C       
093001173PA               000004250000000001000004279000000002R    PP000000000016003600 C       
093001173JA               000004252000000001000004293000000002R    JJ000000000016003900 C       
093001173YA               000004240000000002000004280000000001R    YY000000000016004000 C       
093001173JA               000004240000000002000004293000000002R    JJ000000000016004100 C       
093001173ZA               000004240000000002000004279000000001R    ZZ000000000016004200 C       
093001174KA               000004240000000002000004316000000001R    KK000000000016004300 C       
093001174BA               000004252000000002000004279000000002R    BB000000000016004500 C       
093001174TA               000004252000000001000004278000000001R    TT000000000016004760 C       
093001174TA               000004240000000002000004278000000001R    TT000000000016004800 C       
093001174BA               000004251000000002000004279000000002R    BB000000000016004960 C       
093001174BA               000004250000000002000004279000000002R    BB000000000016005460 C       
093001175ZA               000004240000000002000004284000000001R    ZZ000000000016006900 C       
093001175PA               000004250000000001000004279000000001R    PP000000000016007000 C       
093001176YA               000004240000000002000004291000000008R    YY000000000016008000 C       
093001176TA               000004240000000002000004279000000005R    TT000000000016008160 C       
093001178KA               000004240000000002000004300000000003R    KK000000000016012600 C       
093001178DA               000004237000000017000004292000000017RFLOWDD000000000016012800AC     EA
093001180PA               000004250000000001000004293000000002R    PP000000000016015300 C       
093001181NA               000004263000000009000004275000000003O    NN000000000016016810ACB     A
093001182NA               000004263000000009000004275000000003R    NN000000000016018000 C       
093001182NA               000004261000000006000004275000000003R    NN000000000016018410 C       
093001182NA               000004261000000006000004275000000003R    NN000000000016018600ACA     A
093001182NA               000004266000000011000004275000000003R    NN000000000016018710 C       
093001183NA               000004266000000012000004275000000003R    NN000000000016019810 C       
093001183NA               000004266000000001000004275000000003R    NN000000000016020210 C       
093001183NA               000004261000000006000004275000000003R    NN000000000016021410ACA     A
093001186NA               000004264000000001000004275000000003R    NN000000000016022110ACA     A
093001186NA               000004264000000002000004275000000003R    NN000000000016022210ACA     A
093001194KA               000004240000000002000004275000000001R    KK000000000016027800 C       
093001356NA               000004264000000002000004275000000003R    NN000000000016138800ACC     A
093001447PA               000004250000000001000004275000000001R    PP000000000016187700 C       
093001447PA               000004250000000001000004275000000002R    PP000000000016187800 C       
093001507PA               000004250000000001000004275000000001R    PP000000000016219100 C       
093001512NA               000004264000000001000004275000000003R    NN000000000016220110ACC     A
093001512NA               000004264000000001000004275000000003R    NN000000000016220300ACA     A
093001518NA               000004261000000006000004275000000003R    NN000000000016221010ACA     A
093001579TA               000004240000000002000004279000000002R    TT000000000016239300 C       
093001580TA               000004240000000002000004275000000001R    TT000000000016239600 C       
093001968JA               000004240000000002000004279000000001R    JJ000000000016329200 C       
093001980JA               000004240000000002000004278000000001R    JJ000000000016330400 C       
093001983DA               000004127000000001000004292000000017RFLOWDD000000000016331201AC      A
093001988BA               000004250000000002000004278000000001R    BB000000000016332100 C       
093001988BA               000004250000000002000004278000000002R    BB000000000016332200 C       
093002004NA               000004261000000006000004275000000003R    NN000000000016339700 C       
093002018TA               000004244000000001000004275000000001R    TT000000000016359100 C       
093002018BA               000004250000000002000004274000000002R    BB000000000016359260 C       
093002018BA               000004240000000002000004274000000002R    BB000000000016359400 C       
093002018ZA               000004240000000002000004274000000002R    ZZ000000000016359700 C       
093002018TA               000004244000000002000004275000000001R    TT000000000016359800 C       
093002018TA               000004244000000002000004274000000002R    TT000000000016360000 C       
093002018JA               000004240000000002000004274000000002R    JJ000000000016360100 C       
093002018YA               000004240000000002000004274000000002R    YY000000000016360400 C       
093002018PA               000004250000000001000004274000000002R    PP000000000016360600 C       
093002018TA               000004244000000002000004274000000003R    TT000000000016360760 C       
093002018JA               000004240000000002000004274000000003R    JJ000000000016360800 C       
093002018KA               000004240000000002000004274000000002R    KK000000000016360900 C       
093002018ZA               000004240000000002000004274000000003R    ZZ000000000016361100 C       
093002018PA               000004250000000001000004274000000003R    PP000000000016361200 C       
093002026NA               000004261000000006000004275000000003R    NN000000000016372000ACB     A
093002027NA               000004261000000006000004274000000002R    NN000000000016373300ACB     A
093002045PA               000004250000000001000004274000000004R    PP000000000016386760 C       
093002062NA               000004261000000006000004273000000001R    NN000000000016398810 C       
093002063NA               000004261000000006000004273000000002R    NN000000000016399310 C       
093002103PA               000004250000000001000004273000000001R    PP000000000016429700 C       
093002104PA               000004250000000001000004273000000002R    PP000000000016430100 C       
093002156NA               000004261000000006000004273000000002R    NN000000000016450460ACB     A
093002184PA               000004250000000001000004273000000001R    PP000000000016458560 C       
093002184TA               000004244000000002000004274000000001R    TT000000000016458600 C       
093002184NA               000004261000000006000004273000000001R    NN000000000016458760ACB     A
093002184KA               000004240000000002000004275000000001R    KK000000000016458800 C       
093002184BA               000004240000000002000004278000000002R    BB000000000016458900 C       
093002184YA               000004240000000002000004291000000008R    YY000000000016459000 C       
093002184ZA               000004240000000002000004274000000002R    ZZ000000000016459100 C       
093002184JA               000004240000000002000004274000000001R    JJ000000000016459200 C       
093002184TA               000004244000000002000004275000000001R    TT000000000016459300 C       
093002184ZA               000004240000000002000004284000000001R    ZZ000000000016459400 C       
093002186NA               000004261000000006000004273000000001R    NN000000000016459600 C       
093002190NA               000004261000000006000004275000000003R    NN000000000016460800 C       
093002195KA               000004240000000002000004279000000001R    KK000000000016461500 C       
093002196KA               000004240000000002000004273000000001R    KK000000000016462000 C       
093002313DA               000004127000000001000004300000000012RFLOWDD000000000016512501AC      A
093002392TA               000004244000000001000004275000000001R    TT000000000016530500 C       
093002462YA               000004240000000002000004293000000002R    YY000000000016549100 C       
093002469NA               000004262000000001000004275000000003R    NN000000000016555560 C       
093002470NA               000004262000000002000004275000000003R    NN000000000016555660 C       
093002471NA               000004262000000002000004275000000003R    NN000000000016555700ACA     A
093002813DA               000004249000000016000004300000000012RFLOWDD000000000016617001AC      A
093002899JA               000004240000000002000004278000000001R    JJ000000000016627100 C       
093002900NA               000004262000000001000004275000000003R    NN000000000016627260ACA     A
093002902TA               000004244000000001000004278000000002R    TT000000000016627500 C       
093002902TA               000004244000000001000004273000000002R    TT000000000016627760 C       
093002913NA               000004261000000006000004275000000003R    NN000000000016629160ACA     A
093003004NA               000004261000000006000004275000000003R    NN000000000016646900ACC     A
093003010NA               000004261000000006000004275000000003R    NN000000000016651000ACA     A
093003013NA               000004261000000006000004275000000003R    NN000000000016654400 C       
093003014NA               000004261000000006000004275000000003R    NN000000000016655000ACB     A
093003078BA               000004240000000002000004277000000002R    BB000000000016701000 C       
093003078JA               000004240000000002000004277000000002R    JJ000000000016701100 C       
093003078YA               000004240000000002000004277000000002R    YY000000000016701200 C       
093003078BA               000004240000000002000004277000000003R    BB000000000016701300 C       
093003078ZA               000004240000000002000004277000000002R    ZZ000000000016701400 C       
093003078JA               000004240000000002000004277000000003R    JJ000000000016701500 C       
093003078YA               000004240000000002000004277000000003R    YY000000000016701600 C       
093003078ZA               000004240000000002000004277000000003R    ZZ000000000016701700 C       
093003114DA               000004249000000016000004286000000016RFLOWDD000000000016715901AC      A
093003201YA               000004249000000008000004277000000003R    YY000000000016731700 C       
093003201JA               000004249000000001000004277000000003R    JJ000000000016731800 C       
093003201YA               000004249000000009000004277000000003R    YY000000000016732000 C       
093003201YA               000004249000000009000004277000000002R    YY000000000016732100 C       
093003201JA               000004249000000001000004277000000002R    JJ000000000016732300 C       
093003995NA               000004261000000006000004274000000001R    NN000000000016870000ACB     A
093004007TA               000004249000000001000004273000000002R    TT000000000016873800 C       
093004007TA               000004249000000002000004273000000002R    TT000000000016873900 C       
093004116NA               000004262000000001000004274000000001R    NN000000000016919860ACB     A
093004116NA               000004262000000002000004274000000001R    NN000000000016920060ACB     A
093004117ZA               000004240000000002000004277000000001R    ZZ000000000016920600 C       
093004117BA               000004240000000002000004277000000001R    BB000000000016920700 C       
093004117BA               000004240000000002000004278000000002R    BB000000000016920800 C       
093004117YA               000004249000000009000004285000000008R    YY000000000016920900 C       
093004117JA               000004249000000001000004278000000001R    JJ000000000016921000 C       
093004117ZA               000004240000000002000004284000000001R    ZZ000000000016921300 C       
093004117NA               000004262000000002000004274000000001R    NN000000000016921500ACC     A
093004149PA               000004250000000001000004278000000002R    PP000000000016954100 C       
093004150PA               000004251000000001000004278000000002R    PP000000000016956000 C       
093004150PA               000004251000000002000004278000000002R    PP000000000016957100 C       
093004196YA               000004249000000009000004280000000002R    YY000000000016998800 C       
093004196TA               000004249000000002000004273000000003R    TT000000000016998960 C       
093004196ZA               000004240000000002000004280000000002R    ZZ000000000016999000 C       
093004197YA               000004249000000009000004280000000003R    YY000000000016999100 C       
093004220TA               000004262000000001000004273000000003R    TT000000000017007700 C       
093004220TA               000004262000000002000004273000000003R    TT000000000017007800 C       
093004220BA               000004247000000007000004278000000002R    BB000000000017007900 C       
093004220BA               000004247000000008000004278000000002R    BB000000000017008000 C       
093004230BA               000004247000000001000004278000000002R    BB000000000017009900 C       
093004230TA               000004262000000001000004273000000003R    TT000000000017010000 C       
093004230NA               000004261000000006000004274000000001R    NN000000000017010160ACC     A
093004230BA               000004240000000002000004278000000002R    BB000000000017010200 C       
093004230TA               000004249000000002000004273000000003R    TT000000000017010360 C       
093004230TA               000004249000000002000004272000000001R    TT000000000017010460 C       
093004231TA               000004249000000002000004272000000002R    TT000000000017010560 C       
093004231TA               000004249000000002000004272000000003R    TT000000000017010660 C       
093004231NA               000004261000000006000004274000000001R    NN000000000017010700ACA     A
093004231TA               000004249000000002000004271000000001R    TT000000000017010960 C       
093004231NA               000004261000000006000004274000000001R    NN000000000017011000 C       
093004232NA               000004261000000006000004274000000001R    NN000000000017011200ACB     A
093004233TA               000004249000000002000004271000000004R    TT000000000017011960 C       
093004245TA               000004249000000002000004271000000005R    TT000000000017017160 C       
093004248KA               000004240000000002000004279000000001R    KK000000000017017500 C       
093004249KA               000004240000000002000004271000000001R    KK000000000017018000 C       
093004255PA               000004251000000002000004271000000001R    PP000000000017030100 C       
093004256NA               000004261000000006000004271000000001R    NN000000000017030500ACB     A
093004256PA               000004251000000002000004271000000002R    PP000000000017030600 C       
093004256TA               000004249000000002000004271000000006R    TT000000000017031160 C       
093004256NA               000004261000000006000004271000000002R    NN000000000017031900ACB     A
093004294PA               000004251000000001000004271000000002R    PP000000000017046100 C       
093004295PA               000004250000000001000004271000000002R    PP000000000017046200 C       
093004317JA               000004261000000001000004278000000001R    JJ000000000017054200 C       
093004317BA               000004250000000002000004278000000002R    BB000000000017054500 C       
093004321TA               000004249000000002000004271000000005R    TT000000000017055160 C       
093004357NA               000004261000000006000004271000000001R    NN000000000017063800ACB     A
093004412TA               000004249000000002000004271000000006R    TT000000000017085760 C       
093004562XA               000004248000000018000000000000000000R    XX000000000017109500 C       
093004597PA               000004250000000001000004271000000001R    PP000000000017111900 C       
093004597JA               000004261000000001000004279000000001R    JJ000000000017112000 C       
093004597BA               000004250000000002000004278000000001R    BB000000000017112100 C       
093004597BA               000004250000000002000004280000000002R    BB000000000017112200 C       
093004598JA               000004261000000001000004280000000003R    JJ000000000017112300 C       
093004599XA               000004248000000018000004284000000018R    XX000000000017112400 C       
093004667XA               000004248000000018000004281000000001R    XX000000000017117800 C       
093004673JA               000004261000000001000004280000000005R    JJ000000000017118700 C       
093004674BA               000004250000000002000004280000000003R    BB000000000017118800 C       
093004674YA               000004249000000009000004280000000004R    YY000000000017119000 C       
093005563MA               000004248000000007000000000000000000R    MM000000000017261100 C       
093005564MA               000004248000000007000004284000000007R    MM000000000017261200 C       
093006345JA               000004261000000001000004271000000001R    JJ000000000017423200 C       
093006517BA               000004250000000002000004280000000002R    BB000000000017626600 C       
093006517YA               000004249000000009000004280000000003R    YY000000000017626700 C       
093006518KA               000004242000000001000004271000000001R    KK000000000017626800 C       
093006520XA               000004248000000018000004284000000018R    XX000000000017627200 C       
093006577BA               000004250000000002000004276000000001R    BB000000000017637600 C       
093006578BA               000004250000000002000004276000000002R    BB000000000017637700 C       
093006580YA               000004249000000009000004275000000003R    YY000000000017637900 C       
093006580YA               000004249000000009000004275000000004R    YY000000000017638000 C       
093006580KA               000004240000000002000004271000000001R    KK000000000017638100 C       
093006677JA               000004249000000003000004271000000001R    JJ000000000017652700 C       
093006678BA               000004242000000007000004276000000002R    BB000000000017652900 C       
093006678YA               000004249000000009000004275000000003R    YY000000000017653000 C       
093007003BA               000004242000000007000004271000000001R    BB000000000017703500 C       
093007003BA               000004242000000007000004271000000002R    BB000000000017703600 C       
093007004YA               000004249000000009000004271000000001R    YY000000000017704800 C       
093007004YA               000004249000000009000004271000000002R    YY000000000017705000 C       
093007004JA               000004249000000003000004271000000002R    JJ000000000017705200 C       
093007828KA               000004242000000001000004271000000001R    KK000000000017845300 C       
093007829KA               000004240000000002000004271000000001R    KK000000000017845500 C       
093007829JA               000004249000000003000004271000000001R    JJ000000000017845600 C       
093007829YA               000004249000000009000004271000000001R    YY000000000017845700 C       
093008641BA               000004242000000007000004271000000001R    BB000000000018024800 C       
093008698XA               000004248000000018000004274000000001R    XX000000000018027200 C       
093010773NA               000004261000000006000004271000000001R    NN000000000018506100ACC     A
093010832KA               000004240000000003000004271000000001R    KK000000000018512700 C       
093011739PA               000004250000000001000004280000000002R    PP000000000018635100 C       
093011739NA               000004261000000006000004273000000002R    NN000000000018635200ACC     A
093011739TA               000004249000000002000004271000000005R    TT000000000018635360 C       
093011743NA               000004261000000002000004273000000002R    NN000000000018635660ACC     A
093011745TA               000004249000000002000004271000000006R    TT000000000018635760 C       
093011777NA               000004261000000002000004270000000001R    NN000000000018636710ACA     A
093011778NA               000004261000000002000004270000000002R    NN000000000018636810ACA     A
093011778NA               000004261000000002000004270000000002R    NN000000000018636900 C       
093011778BA               000004242000000007000004276000000001R    BB000000000018637000 C       
093011778KA               000004241000000001000004271000000001R    KK000000000018637100 C       
093011778YA               000004249000000009000004273000000002R    YY000000000018637200 C       
093011779KA               000004241000000001000004273000000001R    KK000000000018637600 C       
093011780KA               000004241000000001000004270000000001R    KK000000000018638200 C       
093011781YA               000004249000000009000004273000000002R    YY000000000018638300ACB     A
093011781NA               000004261000000002000004270000000002R    NN000000000018638400ACB     A
093012820NA               000004261000000002000004270000000001R    NN000000000018755560ACB     A
093012821DA               000004249000000016000004300000000012RFLOWDD000000000018755601AC      A
093012827NA               000004261000000002000004273000000002R    NN000000000018756500ACB     A
093012832KA               000004242000000001000004270000000001R    KK000000000018756900 C       
093013176NA               000004261000000002000004274000000002R    NN000000000018792200ACB     A
093013176YA               000004249000000009000004274000000001R    YY000000000018792300ACB     A
093013177NA               000004261000000002000004274000000001R    NN000000000018792400ACB     A
093013177XA               000004248000000018000004284000000018R    XX000000000018792500 C       
093013178YA               000004249000000009000004280000000003R    YY000000000018792600ACB     A
093013234YA               000004249000000009000004272000000001R    YY000000000018799600ACB     A
093013234YA               000004249000000009000004272000000002R    YY000000000018799700ACB     A
093013237PA               000004250000000001000004271000000001R    PP000000000018799800 C       
093013237PA               000004250000000001000004271000000002R    PP000000000018799900 C       
093013238BA               000004242000000007000004271000000001R    BB000000000018800000 C       
093013238BA               000004242000000007000004271000000002R    BB000000000018800100 C       
093013239XA               000004248000000018000004271000000001R    XX000000000018800200 C       
093013239YA               000004249000000009000004271000000002R    YY000000000018800400ACB     A
093013663DA               000004249000000016000004283000000015RFLOWDD000000000018863101AC      A
093013756KA               000004261000000002000004270000000001R    KK000000000018873000 C       
093013756ZA               000004261000000003000004280000000002R    ZZ000000000018873160 C       
093013756PA               000004261000000003000004271000000002R    PP000000000018873200 C       
093013756ZA               000004261000000004000004280000000002R    ZZ000000000018873360 C       
093013757PA               000004261000000004000004271000000002R    PP000000000018873400 C       
093013757TA               000004261000000002000004271000000006R    TT000000000018873500 C       
093013757PA               000004261000000004000004271000000001R    PP000000000018873600 C       
093013757TA               000004261000000003000004271000000006R    TT000000000018873700 C       
093013757BA               000004246000000007000004271000000002R    BB000000000018873800 C       
093013757BA               000004246000000008000004271000000002R    BB000000000018873900 C       
093013757BA               000004246000000008000004271000000001R    BB000000000018874000 C       
093016617PA               000004261000000004000004270000000001R    PP000000000019292900 C       
093016617NA               000004261000000002000004270000000001R    NN000000000019293100ACB     A
093016617PA               000004261000000004000004270000000002R    PP000000000019293260 C       
093016617PA               000004261000000003000004270000000002R    PP000000000019293300 C       
093016618NA               000004261000000002000004270000000002R    NN000000000019293800ACB     A
093016762NA               000004261000000002000004270000000001R    NN000000000019314200ACB     A
093017069PA               000004261000000003000004270000000001R    PP000000000019427960 C       
093017069BA               000004246000000008000004276000000001R    BB000000000019428000 C       
093017069TA               000004261000000002000004271000000006R    TT000000000019428100 C       
093017070ZA               000004261000000003000004280000000002R    ZZ000000000019428260 C       
093017070XA               000004248000000018000004284000000018R    XX000000000019428300 C       
093017070YA               000004249000000009000004272000000001R    YY000000000019428500ACB     A
093017070YA               000004254000000003000004272000000001R    YY000000000019428600ACB     A
093017070YA               000004254000000004000004272000000001R    YY000000000019428800ACB     A
093017070YA               000004254000000007000004272000000001R    YY000000000019428900ACB     A
093017070JA               000004254000000001000004271000000001R    JJ000000000019429000 C       
